code	parent_code	kind	criterion_type	page_start	mandatory_guess	statement
4.11.1	4.11	item	avaliativo_objeto	9	True	Ensejará em falha pontual a situação da obra não consumível que contenha lacunas ou espaços que induzam o estudante ou os professores a realizar atividades no próprio livro.
4.11.2	4.11	item	avaliativo_objeto	9	True	A recorrência de que trata a hipótese do item anterior caracterizará, caso avaliada a necessidade de revisão global da obra, na sua reprovação.
4.12	4	item	avaliativo_objeto	9	True	Para efeitos de inscrição e avaliação, as obras deverão ser submetidas de modo descaracterizado, ou seja, sem identificação nominal da editora, sob pena de reprovação.
4.13	4	item	avaliativo_objeto	9	True	São critérios avaliativos a coerência e a adequação da abordagem teórico-metodológica assumida pela obra, no que diz respeito à proposta didático-pedagógica explicitada e aos objetivos visados.
4.13.1	4.13	item	avaliativo_objeto	9	True	As coleções devem ser organizadas em acordo com propostas pedagógicas que superem abordagens sintéticas do processo de alfabetização.
4.2.2	4.2	item	avaliativo_objeto	9	True	No caso de obras de Língua Espanhola, as obras deverão seguir os demais critérios listados neste edital tanto para as versões do Livro do Professor (Impresso e Digital) quanto para as versões do Livro do Estudante (impresso e digital).
4.2.3	4.2	item	avaliativo_objeto	9	True	As habilidades abordadas nos materiais devem se ater àquelas específicas do ano(s)/série(
4.2.3.s	4.2.3	alinea	avaliativo_objeto	9	True	de atendimento da Categoria para a qual a obra estará inscrita.
4.2.4	4.2	item	avaliativo_objeto	9	True	Os volumes das coleções de Língua Portuguesa, da Categoria 1 e da Categoria 2, devem abordar todas as habilidades específicas do ano e do ciclo (1° e 2° nas coleções do ciclo referente à Categoria 1) (3°, 4° e 5° nas coleções do ciclo referente à Categoria 2) de forma integrada com os campos de atuação social.
4.3	4	item	avaliativo_objeto	9	True	As obras devem organizar as atividades de modo que os estudantes utilizem suas experiências sociais e culturais para desenvolver novas competências linguísticas, promovendo uma relação ativa com a linguagem (escrita, leitura, oralidade e escuta).
4.4	4	item	avaliativo_objeto	9	True	A linguagem das obras e as orientações para as atividades devem ser apresentadas de forma a facilitar a compreensão do que está sendo solicitado, de acordo com a faixa etária de crianças dos Anos Iniciais.
4.5	4	item	avaliativo_objeto	9	True	Os Temas Contemporâneos Transversais (TCTs) deverão ser abordados de forma interdisciplinar em todos os volumes com, no mínimo, a abordagem de dois diferentes temas por volume da coleção.
4.6	4	item	avaliativo_objeto	9	True	O conteúdo deve ser organizado de maneira a garantir a clareza e a objetividade necessárias para que as crianças possam se apropriar dos conhecimentos de forma eficaz, sem dispersão de informações ou confusão conceitual entre o que se aprende nos Anos Iniciais e nos Anos Finais.
4.7	4	item	avaliativo_objeto	9	True	Não haverá inscrição de caderno de atividades.
4.8	4	item	avaliativo_objeto	9	True	Em caso de a coleção conter anexos indispensáveis para sua adequada utilização, esses materiais deverão obrigatoriamente fazer parte do corpo da coleção, não podendo constituir volume em separado.
4.9	4	item	avaliativo_objeto	9	True	Poderão ser inscritas coleções didáticas inéditas ou que já participaram de outras edições do PNLD, desde que estejam adequadas às especificações deste edital e às demandas da BNCC previstas para cada área do conhecimento e componente curricular.
4.14	4	item	avaliativo_objeto	10	True	As obras devem respeitar a perspectiva interdisciplinar na apresentação e abordagem dos conteúdos, especialmente nas áreas das Linguagens, das Ciências Humanas e das Ciências da Natureza.
4.15	4	item	avaliativo_objeto	10	True	Serão analisadas a pertinência, a qualidade e a adequação de conteúdo multimídia ao projeto pedagógico e ao texto impresso das obras.
4.16	4	item	avaliativo_objeto	10	True	Todas as obras, sem exceção, devem ter como objetivo a apropriação das capacidades necessárias para a escrita, a leitura, o letramento matemático e o uso social destes conhecimentos, com direcionamentos para este fim.
4.16.1	4.16	item	avaliativo_objeto	10	True	Para a apropriação da escrita e da leitura, especialmente nos materiais da Categoria 1, a fonte e o tamanho de fonte do material devem ser utilizados com este propósito.
4.17	4	item	avaliativo_objeto	10	True	Por mais diversificadas que sejam as concepções e as práticas de ensino-aprendizagem, o Livro Impresso do Estudante (LIE) e o Livro Digital do Estudante (LDE) devem promover em sua configuração as possibilidades de:
4.17.a	4.17	alinea	avaliativo_objeto	10	True	construir conhecimentos de forma significativa e qualificada, engajando os estudantes por meio de uma linguagem clara, acessível e conectada ao universo infantil;
4.17.b	4.17	alinea	avaliativo_objeto	10	True	favorecer o desenvolvimento do pensamento autônomo e crítico, ajustado ao nível de compreensão dos estudantes;
4.17.c	4.17	alinea	avaliativo_objeto	10	True	considerar a diversidade cultural e as múltiplas realidades dos estudantes brasileiros, promovendo imagens, fotografias, exemplos visuais dos aspectos culturais do nosso povo em sua pluralidade;
4.17.d	4.17	alinea	avaliativo_objeto	10	True	oferecer condições para a progressão e a recuperação de aprendizagens com diferentes graus de complexidade nas propostas de atividades, permitindo que cada estudante avance no seu próprio ritmo, com suporte para consolidar o conhecimento de maneira individualizada;
4.17.e	4.17	alinea	avaliativo_objeto	10	True	explorar conceitos e informações atualizadas de forma acessível e adequada à faixa etária;
4.17.f	4.17	alinea	avaliativo_objeto	10	False	oferecer sugestões de leituras, histórias, filmes, personalidades etc.;
4.17.g	4.17	alinea	avaliativo_objeto	10	True	propor situações de ensino com intervenções na realidade dos estudantes para que apliquem o conhecimento em seus próprios territórios;
4.17.h	4.17	alinea	avaliativo_objeto	10	True	utilizar abordagens diversificadas nas atividades, oferecendo várias formas de explorar os mesmos conceitos utilizando-se de diferentes processos cognitivos para garantir a efetiva apropriação do conhecimento;
4.17.i	4.17	alinea	avaliativo_objeto	10	True	incentivar a exploração do ambiente e o aprendizado ativo, sugerindo visitas guiadas (a museus, centros de pesquisas, teatros, parques, cinema, centros culturais, entre outros);
4.17.j	4.17	alinea	avaliativo_objeto	10	True	destacar, quando for o caso, o uso pedagógico da tecnologia (laboratórios virtuais, celulares, simuladores etc.), em acordo com a legislação vigente;
4.17.k	4.17	alinea	avaliativo_objeto	10	True	fornecer exemplos e explicações claras para facilitar a compreensão dos conteúdos abordados, respeitando o nível de entendimento dos estudantes;
4.17.l	4.17	alinea	avaliativo_objeto	10	True	combater todo tipo de preconceito (social, cultural, étnico -racial, religioso, entre outros), promovendo uma postura inclusiva e empática nas reflexões das atividades;
4.17.m	4.17	alinea	avaliativo_objeto	10	True	promover sistematicamente, ao longo da coleção e em todos os materiais, o desenvolvimento do domínio da escrita de letras e algarismos com a correta forma gráfica;
4.17.n	4.17	alinea	avaliativo_objeto	10	True	apresentar e incentivar a escrita e a leitura, inicialmente em letra bastão no 1º ano, perpassando para a letra de imprensa e cursiva no 2º, aprofundando-as do 3º ano em diante;
4.17.o	4.17	alinea	avaliativo_objeto	10	True	implementar a transcrição sistemática de tamanhos e formatos de fontes adequados a cada ano dos Anos Iniciais, diferenciando o uso de letra bastão e de imprensa para leitura, e, cursiva, para escrita manuscrita, priorizando a letra de bastão e de imprensa para facilitar o reconhecimento visual e a fluência na leitura, enquanto se introduz gradualmente a letra cursiva para a escrita à mão, realizando uma transição entre maiúsculas e minúsculas ao longo dos anos, com ênfase em todos os volumes da Categoria 1, e, de forma menos intensa, nos materiais da Categoria 2, focando sempre na alfabetização;
4.17.p	4.17	alinea	avaliativo_objeto	11	True	apresentar, quando previsto para a obra/volume, cópias individuais de encartes eventualmente apresentados ao final do volume, quando obras não-consumíveis.
4.18	4	item	avaliativo_objeto	11	True	Quanto à adequação e à pertinência das orientações prestadas ao professor e o formato do material, o Livro Impresso do Professor (LIP) e o Livro Digital do Professor (LDP) devem:
4.18.a	4.18	alinea	avaliativo_objeto	11	True	incluir tanto o Livro Impresso do Estudante quanto o Livro Digital do Estudante de forma integral em formato U (reduzido compreendendo entre 70% e 85% do formato original), com orientações específicas para os professores ao longo do material, compondo um único volume;
4.18.b	4.18	alinea	avaliativo_objeto	11	False	apresentar sugestões de respostas às questões, oferecendo orientações para que o professor possa guiar e apoiar o processo de aprendizagem dos estudantes de maneira clara e efetiva;
4.18.c	4.18	alinea	avaliativo_objeto	11	True	explicar a estrutura da BNCC, exceto em obras de componentes/obras não contemplados pela BNCC para os Anos Iniciais (produção de texto, inglês, espanhol);
4.18.d	4.18	alinea	avaliativo_objeto	11	True	explicar a estrutura da BNCC Computação (Complemento à BNCC), exclusivamente na obra de Educação Digital;
4.18.e	4.18	alinea	avaliativo_objeto	11	True	conter, nas coleções de Língua Portuguesa e Matemática, orientações didáticas sobre a pega de três pontos no lápis para fluidez na escrita de letras e algarismos e a correta direção do traço com foco no desenvolvimento da escrita;
4.18.f	4.18	alinea	avaliativo_objeto	11	True	explicitar os pressupostos teórico-metodológicos e os objetivos que fundamentam a proposta didático-pedagógica da obra;
4.18.g	4.18	alinea	avaliativo_objeto	11	True	conter as respostas esperadas das atividades, ao longo ou ao final do material;
4.18.h	4.18	alinea	avaliativo_objeto	11	True	descrever a organização geral da obra, tanto no conjunto dos volumes quanto na estruturação interna de cada um deles, para que o professor possa compreender o desenvolvimento progressivo dos conteúdos;
4.18.i	4.18	alinea	avaliativo_objeto	11	True	sugerir possibilidades de trabalho interdisciplinar, oferecendo orientações práticas e teóricas que facilitem a articulação entre os diferentes componentes curriculares;
4.18.j	4.18	alinea	avaliativo_objeto	11	True	apresentar o uso adequado dos livros, com estratégias e recursos de ensino ajustados à faixa etária, que potencializem o aprendizado e o engajamento das crianças;
4.18.k	4.18	alinea	avaliativo_objeto	11	True	sugerir formas de personalização das atividades em observância às diferentes necessidades de aprendizagem dentro de uma mesma sala de aula;
4.18.l	4.18	alinea	avaliativo_objeto	11	True	discutir diferentes concepções, formas e instrumentos de avaliação, para que o professor tenha subsídios para avaliar o processo de aprendizagem de forma reflexiva e adaptada às necessidades dos estudantes (portifólio, seminários, saraus, debates orais, provas, testes, ditados etc.);
4.18.m	4.18	alinea	avaliativo_objeto	11	True	explicitar os conceitos de cada modelo avaliativo (somativo, formativo, diagnóstico) e indicar os objetivos de cada um;
4.18.n	4.18	alinea	avaliativo_objeto	11	False	apresentar sugestões de cronogramas (bimestral, trimestral e semestral), além de orientar o professor na construção de seu próprio cronograma, conforme a realidade escolar, exceto livro regional e de produção de texto;
4.18.o	4.18	alinea	avaliativo_objeto	12	True	apresentar diferentes formas de organização da turma, além do modelo enfileirado, para que o professor possa diversificar o ambiente de aprendizagem e promover interações mais significativas entre as crianças, tanto na escola quanto na comunidade escolar;
4.18.p	4.18	alinea	avaliativo_objeto	12	False	propor estratégias de ensino -aprendizagem que incluam estudantes com deficiência, garantindo que o professor tenha ferramentas para promover a inclusão e a participação de todos os estudantes (este item pode ser contemplado com sugestões de bibliografia);
4.18.q	4.18	alinea	avaliativo_objeto	12	True	alertar sobre eventuais riscos na realização de atividades e experimentos, garantindo a integridade física e o bem-estar de estudantes, professores e demais envolvidos no processo;
4.18.r	4.18	alinea	avaliativo_objeto	12	True	incluir a visão geral da proposta desenvolvida tanto no Livro Impresso do Estudante quanto no Livro Digital do Estudante, garantindo a coerência entre os materiais destinados a professores e a estudantes;
4.18.s	4.18	alinea	avaliativo_objeto	12	True	propiciar a reflexão sobre a prática docente, incentivando que o professor analise sua relação com os estudantes e compreenda seu papel social e a função da escola;
4.18.t	4.18	alinea	avaliativo_objeto	12	True	indicar referencial bibliográfico comentado para professores, oferecendo orientações sobre materiais adicionais que complementem e aprofundem conhecimentos sobre processos de ensino - aprendizagem, especialmente na etapa de alfabetização;
4.18.u	4.18	alinea	avaliativo_objeto	12	True	sugerir, na margem em U, atividades de aprofundamento ou de reforço para complementar exercícios ou tarefas dos estudantes;
4.18.v	4.18	alinea	avaliativo_objeto	12	True	incluir exemplos de proposta de matriz de planejamento de rotina e de sequência didática;
4.18.w	4.18	alinea	avaliativo_objeto	12	True	incentivar sistematicamente por toda a obra, na margem em U, que professores acolham, engajem e deem oportunidade de os estudantes verbalizarem seu raciocínio, escreverem e desenvolverem, no coletivo da turma, a compreensão do motivo da atividade e da realização da resposta;
4.18.x	4.18	alinea	avaliativo_objeto	12	True	sugerir atividades, projetos ou culminâncias que envolvam a família e/ou a comunidade escolar na rotina da sala de aula, garantindo que os estudantes sejam os protagonistas da ação (especialmente ações que envolvam leitura, produção de texto ou produções artísticas).
4.19	4	item	avaliativo_objeto	12	True	Quanto à adequação da estrutura editorial e do projeto gráfico, a proposta didático-pedagógica de uma coleção deve traduzir- se em projeto gráfico -editorial compatível com suas opções teórico - metodológicas, considerando-se, dentre outros aspectos, a faixa etária e o desenvolvimento cognitivo esperado para os estudantes do Anos Iniciais do Ensino Fundamental. Nesse sentido, a coleção deve apresentar:
4.19.a	4.19	alinea	avaliativo_objeto	12	True	organização clara, coerente e funcional, que permita aos estudantes e professores navegarem pelo material de maneira intuitiva e acessível, facilitando a compreensão e o uso eficaz dos conteúdos;
4.19.b	4.19	alinea	avaliativo_objeto	12	True	legibilidade gráfica adequada aos Anos Iniciais do Ensino Fundamental, considerando o desenho, o tamanho e o espaçamento entre letras, palavras e linhas, bem como o formato, as dimensões e a disposição dos textos na página, visando ao processo de aquisição e ao desenvolvimento da leitura e da escrita;
4.19.c	4.19	alinea	avaliativo_objeto	12	True	impressão em preto do texto principal, para garantir a clareza e a legibilidade.
4.19.d	4.19	alinea	avaliativo_objeto	12	True	títulos e subtítulos hierarquizados de forma clara, quando for o caso, utilizando recursos gráficos compatíveis com a faixa etária e que ajudem os estudantes a navegarem pelos conteúdos de maneira organizada;
4.19.e	4.19	alinea	avaliativo_objeto	13	True	sumário que reflita a organização dos conteúdos e atividades, permitindo a rápida localização das informações por meio da indicação precisa das páginas;
4.19.f	4.19	alinea	avaliativo_objeto	13	True	indicação diferenciada dos objetos digitais no sumário e nas páginas onde se localizam, garantindo a rápida localização e a navegação dos materiais digitais, com organização e paginação idênticas ao volume físico;
4.19.g	4.19	alinea	avaliativo_objeto	13	True	seleção textual que dialogue intensamente com as culturas e vivências das crianças, justificando a qualidade da experiência de leitura e a identificação que ela pode proporcionar aos estudantes;
4.19.h	4.19	alinea	avaliativo_objeto	13	True	legendas sintéticas com cores definidas e sem excesso de informações, garantindo que as imagens dos mapas e gráficos sejam interpretadas facilmente pelos estudantes.
4.19.i	4.19	alinea	avaliativo_objeto	13	True	ausência de repetição de conteúdo sem o devido aprofundamento, evitando a ampliação desnecessária do número de páginas e garantindo que cada conceito seja explorado de forma significativa;
4.19.j	4.19	alinea	avaliativo_objeto	13	True	agregação, quando possível, de habilidades que tratam do mesmo objeto de conhecimento ou tenham o mesmo objetivo, proporcionando qualidade ao material e a não repetição de conteúdos já trabalhados.
4.20	4	item	avaliativo_objeto	13	True	No que diz respeito às ilustrações, fotografias e imagens, as obras devem:
4.20.a	4.20	alinea	avaliativo_objeto	13	True	ser adequadas às finalidades para as quais foram elaboradas, garantindo que as ilustrações estejam em sintonia com os objetivos pedagógicos e sejam apropriadas para a faixa etária das crianças, contribuindo diretamente para a construção do conhecimento;
4.20.b	4.20	alinea	avaliativo_objeto	13	True	contribuir para a compreensão de textos e atividades, sendo distribuídas de forma equilibrada na página, de modo a facilitar a leitura e evitar sobrecarga visual, considerando as capacidades sensoriais e de atenção das crianças;
4.20.c	4.20	alinea	avaliativo_objeto	13	True	respeitar as proporções entre objetos ou seres representados, sobretudo em ilustrações de caráter científico, para assegurar a precisão visual e facilitar a compreensão das crianças, ajustando-se ao nível de entendimento esperado para essa faixa etária;
