code	parent_code	kind	criterion_type	page_start	mandatory_guess	statement
4.3	4	item	avaliativo_objeto	8	True	As obras devem ser avaliadas quanto à adequação às diretrizes estabelecidas, com foco na capacidade de organizar experiências que permitam ao estudante mobilizar conhecimentos prévios para construir novos significados que se articulem à cultura e à diversidade do contexto social brasileiro.
4.4	4	item	avaliativo_objeto	8	True	As obras didáticas devem, categoricamente, abordar todos os objetos de conhecimento e todas as habilidades dos componentes da BNCC para o ano/série do material , com exceção da s obras de Produção de Textos e de Língua Espanhola.
4.4.1	4.4	item	avaliativo_objeto	8	True	Para os componentes de Língua Portuguesa, Matemática e Ciências da Natureza, as habilidades essenciais da matriz priorizada devem obrigatoriamente ser contempladas, referentes ao Anos Finais, e estar destacadas aos professores com alguma marca diferencial no Livro do Professor (LP) e em sua versão digital.
4.10	4	item	avaliativo_objeto	9	True	Em caso de a coleção conter anexos indispensáveis para a adequada utilização, esses materiais devem obrigatoriamente integrar o corpo da coleção, não podendo constituir um volume separado.
4.11	4	item	avaliativo_objeto	9	True	Coleções didáticas inéditas ou que já participaram de outras edições do PNLD podem ser inscritas, desde que estejam adequadas às especificações deste edital e às demandas da BNCC previstas para cada área do conhecimento e para cada componente curricular.
4.12	4	item	avaliativo_objeto	9	True	As citações literais, as paráfrases ou os resumos devem, obrigatoriamente, vir acompanhados da referência à publicação original, segundo as normas da ABNT.
4.13	4	item	avaliativo_objeto	9	True	Para fins de avaliação, as obras devem ser submetidas de modo descaracterizado, sendo vedada qualquer identificação nominal à própria coleção da Detentora dos Direitos Autorais, de modo que o descumprimento desse requisito implicará a reprovação da obra.
4.14	4	item	avaliativo_objeto	9	True	São critérios avaliativos a coerência e a adequação da abordagem teórico-metodológica assumida pela obra no que diz respeito à proposta didático-pedagógica explicitada.
4.15	4	item	avaliativo_objeto	9	False	Serão analisadas a pertinência, a qualidade e a adequação de conteúdo multimídia (objetos digitais e sugestões de soluções digitais) ao projeto pedagógico e ao texto impresso das obras.
4.16	4	item	avaliativo_objeto	9	True	Todas as obras devem ter como objetivo a formação integral dos adolescentes, o auxílio do planejamento aos professores e o fortalecimento das políticas de recomposição das aprendizagens dos estudantes.
4.17	4	item	avaliativo_objeto	9	True	Por mais diversificadas que sejam as concepções e as práticas de ensino-aprendizagem, o Livro Impresso do Estudante (LE) e a sua versão digital ( Livro Digital do Estudante - LDE) devem promover possibilidades de:
4.4.2	4.4	item	avaliativo_objeto	9	True	Para os demais componentes as orientações/indicações sobre Política de Recomposição das Aprendizagens deve estar contemplada na parte de orientações do Livro do Professor (LP) e em sua versão digital.
4.4.3	4.4	item	avaliativo_objeto	9	True	As habilidades essenciais dos mapa s de foco para recomposição das aprendizagens estão disponíveis em : https://www.gov.br/mec/pt-br/recomposicao- aprendizagens/MatrizCurricularPriorizadaparaRecomposi.pdf
4.4.4	4.4	item	avaliativo_objeto	9	True	As habilidades que contemplam mais de uma série/ano podem ser abordadas apenas uma vez em algum dos livros do material da coleção.
4.5	4	item	avaliativo_objeto	9	True	A linguagem das obras e as orientações para as atividades devem ser apresentadas de forma a facilitar a compreensão do que está sendo solicitado, conforme a faixa etária de estudantes dos Anos Finais, utilizando o espaçamento necessário para o bem estar visual e cognitivo.
4.6	4	item	avaliativo_objeto	9	True	Os livros devem contemplar a linguagem dialógica com questões /atividades no início de capítulos/unidade, entre textos e ao final de capítulos/unidades com foco na avaliação formativa, proporcionando diagnóstico contínuo, visando identificar lacunas e monitorar o processo indivual de aprendizagem pelos professores.
4.7	4	item	avaliativo_objeto	9	True	Os Temas Contemporâneos Transversais (TCTs) devem ser abordados de forma interdisciplinar em todos os livros do estudante com, no mínimo, a abordagem de um tema diferente por série.
4.8	4	item	avaliativo_objeto	9	True	O conteúdo deve ser organizado de maneira a garantir a precisão e a objetividade necessárias para que os estudantes possam se apropriar dos conhecimentos de forma eficaz, sem dispersão de informações ou confusão conceitual entre o que se aprende nos Anos Iniciais e nos Anos Finais.
4.9	4	item	avaliativo_objeto	9	True	Não é possível realizar inscrição de caderno de atividades.
4.17.a	4.17	alinea	avaliativo_objeto	10	True	construir conhecimentos de forma significativa e qualificada, engajando os estudantes por meio de uma linguagem precisa, acessível e conectada ao universo das adolescências;
4.17.b	4.17	alinea	avaliativo_objeto	10	True	favorecer o desenvolvimento do pensamento autônomo e crítico;
4.17.c	4.17	alinea	avaliativo_objeto	10	True	considerar a diversidade cultural e as múltiplas realidades dos estudantes brasileiros, incluindo, por intermédio de imagens e de fotografias, exemplos visuais dos aspectos culturais do nosso povo em sua pluralidade;
4.17.d	4.17	alinea	avaliativo_objeto	10	True	oferecer condições para a progressão e a recomposição de aprendizagens com diferentes graus de complexidade nas propostas de atividades, permitindo que cada estudante avance no próprio ritmo, com suporte para consolidar o conhecimento de maneira individualizada;
4.17.e	4.17	alinea	avaliativo_objeto	10	True	explorar conceitos e informações atualizadas de forma acessível e adequada à faixa etária;
4.17.f	4.17	alinea	avaliativo_objeto	10	False	oferecer sugestões de livros, de histórias, de filmes, de personalidades para o aprofundamento dos conteúdos e a ampliação do repertório intelectual tanto de estudantes quanto de professores;
4.17.g	4.17	alinea	avaliativo_objeto	10	True	propor situações de ensino com intervenções na realidade dos estudantes para que apliquem o conhecimento em seus próprios territórios;
4.17.h	4.17	alinea	avaliativo_objeto	10	True	incentivar a exploração do ambiente e o aprendizado ativo, sugerindo visitas guiadas a museus, a centros de pesquisas, a teatros, a parques, a cinema, a centros culturais, a sites educativos, entre outros;
4.17.i	4.17	alinea	avaliativo_objeto	10	True	fornecer exemplos e explicações precisas para facilitar a compreensão dos conteúdos abordados, respeitando o nível de entendimento dos estudantes;
4.17.j	4.17	alinea	avaliativo_objeto	10	False	apresentar linguagem dialógica e intermidiática (com sugestões de aprendizagem e interação em diferentes mídias) que seja acessível aos estudantes e aos professores dos Anos Finais do Ensino Fundamental;
4.17.k	4.17	alinea	avaliativo_objeto	10	True	propor exercícios críticos que exijam reflexão e interpretação para a indicação da resposta;
